[Script generated by: Final Fantasy 3us Multi Editor, Coded by Lord J]
[FF3usME version: 6.8.0]
[File version: 1.00]
[Section: Monster Battle Scripts]

[script #0]    ; orig idx=0, "Guard", nb. bytes=6
F5 06 02 02    ; Monsters #2 , if hidden, brought in without affecting their HP, from water
F3 19 00       ; Text: " garden-variety octopus!<D> "
F5 00 01 04    ; Monsters #3 are killed, suddently
FE             ; End If and reset targeting
FC 19 01 00    ; If monster is in slot: #1
FC 0D 03 02    ; If variable VAR003 is greater than or equal to 2
FC 15 02 00    ; If VAR002 has all the following bit cleared: 0
F9 01 02 00    ; VAR002 set bit: 0
F5 06 03 01    ; Monsters #1 are hidden and their HP restored, from water
F5 06 02 04    ; Monsters #3 , if hidden, brought in without affecting their HP, from water
F3 16 00       ; Text: " Here! Over here!<D>"
F5 00 01 01    ; Monsters #1 are killed, suddently
FF             ; End

[script #302]  ; orig idx=302, "Ultros", nb. bytes=238
FC 15 00 06    ; If VAR000 has all the following bit cleared: 6
F3 4F 00       ; Text: " I've more lives than I do arms!<D> "
F9 01 00 06    ; VAR000 set bit: 6
FE             ; End If and reset targeting
FC 15 00 05    ; If VAR000 has all the following bit cleared: 5
FC 06 36 78    ; If target self has less or equal than 15360 HP
F1 36          ; Targeting: self
1F             ; <MG>Haste
1C             ; <MG>Safe
F9 01 00 05    ; VAR000 set bit: 5
F3 4E 00       ; Text: " of myself!<D> So sorry!<D> "
FE             ; End If and reset targeting
FC 0B 3C 00    ; If timer has reached/passed 60 (locks timer)
FB 00 00       ; has battle timer set to 0
F1 44          ; Targeting: random ally
E8             ; Lode Stone
FE             ; End If and reset targeting
FC 0C 01 08    ; If variable VAR001 is less than to 8
F8 01 81       ; 1 added to VAR001
FA 02 01 00    ; Monsters #1 moves forward 1 step slowly
F0 EE EF D0    ; Rand. spell: Battle or Special or Tentacle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 44          ; Targeting: random ally
F0 EE EE 9F    ; Rand. spell: Battle or Battle or Stone
FE             ; End If and reset targeting
FC 0D 01 08    ; If variable VAR001 is greater than or equal to 8
F0 BC 8E BC    ; Rand. spell: Magnitude8 or Aqua Rake or Magnitude8
F5 06 04 01    ; Monsters #1 are hidden without affecting their HP, from water
FA 07 01 00    ; Monsters #1 steps back 3 steps quickly
F5 06 02 01    ; Monsters #1 , if hidden, brought in without affecting their HP, from water
F8 01 00       ; Set VAR001 to 0
F9 02 00 01    ; VAR000 clear bit: 1
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 05 00 00    ; If monster has been attacked
FC 15 00 04    ; If VAR000 has all the following bit cleared: 4
FC 06 36 50    ; If target self has less or equal than 10240 HP
F7 16          ; Trigger event: Ultros, Relm draws him (Terra, Strago, Locke)
F9 01 00 04    ; VAR000 set bit: 4
FC 12 00 00    ; If following monster is/are dead: 
F5 06 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, from water
FE             ; End If and reset targeting
FC 02 D0 D0    ; If monster has been attacked by spell: Tentacle or Tentacle, will target attacker
F3 50 00       ; Text: " I_I'm nothing more than a<D> stupid octopus!<D>"
F5 06 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, from water
FE             ; End If and reset targeting
FC 0D 03 08    ; If variable VAR003 is greater than or equal to 8
FC 0D 01 02    ; If variable VAR001 is greater than or equal to 2
F8 03 00       ; Set VAR003 to 0
FA 01 01 00    ; Monsters #1 moves back 1 step slowly
F8 01 C1       ; 1 subtracted from VAR001
FE             ; End If and reset targeting
FC 01 00 00    ; If monster has been attacked by cmd: Fight or Fight, will target attacker
F8 03 81       ; 1 added to VAR003
FE             ; End If and reset targeting
FC 14 00 03    ; If VAR000 has all the following bit set: 3
FC 04 01 00    ; If monster as been attacked by element: Fire
09             ; <MB>Firaga
FE             ; End If and reset targeting
FC 14 00 03    ; If VAR000 has all the following bit set: 3
FC 04 02 00    ; If monster as been attacked by element: Ice
0A             ; <MB>Blizga
FE             ; End If and reset targeting
FC 14 00 03    ; If VAR000 has all the following bit set: 3
FC 04 04 00    ; If monster as been attacked by element: Lightn.
0B             ; <MB>Thunga
FE             ; End If and reset targeting
FC 14 00 02    ; If VAR000 has all the following bit set: 2
FC 01 02 02    ; If monster has been attacked by cmd: Magic or Magic, will target attacker
F8 03 84       ; 4 added to VAR003
FE             ; End If and reset targeting
FC 01 02 02    ; If monster has been attacked by cmd: Magic or Magic, will target attacker
F8 02 81       ; 1 added to VAR002
F8 03 84       ; 4 added to VAR003
FC 15 00 02    ; If VAR000 has all the following bit cleared: 2
FC 0D 02 04    ; If variable VAR002 is greater than or equal to 4
F9 01 00 02    ; VAR000 set bit: 2
F9 01 00 03    ; VAR000 set bit: 3
FA 00 01 00    ; Monsters palette flashes to red
F3 01 00       ; Text: " Beware his tri-elemental attack!<D> "
FE             ; End If and reset targeting
FF             ; End

[script #303]  ; orig idx=303, "Chupon", nb. bytes=18
EE             ; Battle
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE B3    ; Rand. spell: Battle or Battle or Fire Ball
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F1 43          ; Targeting: allies
CB             ; Sneeze
FB 02 00       ; Ends battle
FF             ; End

[script #304]  ; orig idx=304, "L.20 Magic", nb. bytes=24
F0 10 11 0C    ; Rand. spell: <MB>Demi or <MB>Quartr or <MB>Break
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 10 11 12    ; Rand. spell: <MB>Demi or <MB>Quartr or <MB>X-Zone
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 1A 1E 1C    ; Rand. spell: <MG>Rasp or <MG>Muddle or <MG>Safe
FF             ; End

[script #305]  ; orig idx=305, "Siegfried", nb. bytes=35
FC 15 00 00    ; If VAR000 has all the following bit cleared: 0
F3 5D 00       ; Text: " Ha,<D> ha,<D> ha!<D> Give up?<D>"
EE             ; Battle
EE             ; Battle
EE             ; Battle
EE             ; Battle
EE             ; Battle
EE             ; Battle
EE             ; Battle
EE             ; Battle
F3 5E 00       ; Text: " Give up?<D> "
F9 00 00 00    ; VAR000 toggle bit: 0
FE             ; End If and reset targeting
EE             ; Battle
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0B 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, diagonal
FE             ; End If and reset targeting
FF             ; End

[script #306]  ; orig idx=306, "L.10 Magic", nb. bytes=19
F0 00 01 02    ; Rand. spell: <MB>Fire or <MB>Blizrd or <MB>Thundr
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 19 20 1F    ; Rand. spell: <MG>Slow or <MG>Stop or <MG>Haste
FF             ; End

[script #307]  ; orig idx=307, "L.50 Magic", nb. bytes=26
F0 03 08 0D    ; Rand. spell: <MB>Poison or <MB>Bio or <MB>Death
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 38          ; Targeting: all monsters
F0 33 2C 2C    ; Rand. spell: <MW>Esuna or <MG>Dispel or <MG>Dispel
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 21 19 27    ; Rand. spell: <MG>Bserk or <MG>Slow or <MG>Hastga
FF             ; End

[script #308]  ; orig idx=308, "Head", nb. bytes=14
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FF             ; End

[script #309]  ; orig idx=309, "Whelk Head", nb. bytes=75
FC 14 00 00    ; If VAR000 has all the following bit set: 0
FC 0B 14 00    ; If timer has reached/passed 20 (locks timer)
F5 09 02 02    ; Monsters #2 , if hidden, brought in without affecting their HP, from bottom
F9 02 00 00    ; VAR000 clear bit: 0
FE             ; End If and reset targeting
FC 0D 24 02    ; If variable VAR036 is greater than or equal to 2
F8 24 00       ; Set VAR036 to 0
F5 08 03 02    ; Monsters #2 are hidden and their HP restored, from top
FB 00 00       ; has battle timer set to 0
F9 01 00 00    ; VAR000 set bit: 0
FE             ; End If and reset targeting
FC 15 00 00    ; If VAR000 has all the following bit cleared: 0
F0 EE EE B8    ; Rand. spell: Battle or Battle or Mega Volt
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 6F EF    ; Rand. spell: Battle or El Nino or Special
FF             ; End first wave of attack
FC 15 03 00    ; If VAR003 has all the following bit cleared: 0
FC 12 00 00    ; If following monster is/are dead: 
F9 01 03 00    ; VAR003 set bit: 0
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F8 24 81       ; 1 added to VAR036
FF             ; End

[script #310]  ; orig idx=310, "Colossus", nb. bytes=61
FC 01 0A 07    ; If monster has been attacked by cmd: Blitz or SwdTech, will target attacker
F1 47          ; Targeting: use normal targeting
F0 EE EF E8    ; Rand. spell: Battle or Special or Lode Stone
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EC BC E8    ; Rand. spell: Fire Wall or Magnitude8 or Lode Stone
FE             ; End If and reset targeting
FC 17 0B 00    ; If target Gau (all allies if N/A) is valid, set it, and
F1 47          ; Targeting: use normal targeting
F0 EE EC EF    ; Rand. spell: Battle or Fire Wall or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 EE BC E8    ; Rand. spell: Battle or Magnitude8 or Lode Stone
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 EE EE EC    ; Rand. spell: Battle or Battle or Fire Wall
FE             ; End If and reset targeting
F0 EE EC EF    ; Rand. spell: Battle or Fire Wall or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE EC    ; Rand. spell: Battle or Battle or Fire Wall
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FF             ; End

[script #311]  ; orig idx=311, "CzarDragon", nb. bytes=3
EE             ; Battle
FF             ; End first wave of attack
FF             ; End

[script #312]  ; orig idx=312, "Master Pug", nb. bytes=146
FC 0B 0F 00    ; If timer has reached/passed 15 (locks timer)
FB 00 00       ; has battle timer set to 0
C1             ; WallChange
FA 04 04 00    ; Monsters #3 moves forward 1 step quickly
F8 03 81       ; 1 added to VAR003
FC 0D 03 07    ; If variable VAR003 is greater than or equal to 7
F8 03 00       ; Set VAR003 to 0
F1 44          ; Targeting: random ally
EF             ; Special
F5 0A 04 04    ; Monsters #3 are hidden without affecting their HP, in checkers (does not work on bigger graphics)
FA 07 04 00    ; Monsters #3 steps back 3 steps quickly
F5 0A 02 04    ; Monsters #3 , if hidden, brought in without affecting their HP, in checkers (does not work on bigger graphics)
FE             ; End If and reset targeting
FC 1A 36 02    ; If target self is weak against elements: Ice
F1 47          ; Targeting: use normal targeting
F0 FE 09 09    ; Rand. spell: Nothing or <MB>Firaga or <MB>Firaga
FE             ; End If and reset targeting
FC 1A 36 01    ; If target self is weak against elements: Fire
F1 47          ; Targeting: use normal targeting
F0 FE 0A 0A    ; Rand. spell: Nothing or <MB>Blizga or <MB>Blizga
FE             ; End If and reset targeting
FC 1A 36 10    ; If target self is weak against elements: Wind
F1 47          ; Targeting: use normal targeting
F0 FE 0B 0B    ; Rand. spell: Nothing or <MB>Thunga or <MB>Thunga
FE             ; End If and reset targeting
FC 1A 36 20    ; If target self is weak against elements: Pearl
F1 43          ; Targeting: allies
F0 FE 08 08    ; Rand. spell: Nothing or <MB>Bio or <MB>Bio
FE             ; End If and reset targeting
FC 1A 36 04    ; If target self is weak against elements: Lightn.
F1 47          ; Targeting: use normal targeting
F0 FE 16 16    ; Rand. spell: Nothing or <MB>W Wind or <MB>W Wind
FE             ; End If and reset targeting
FC 1A 36 08    ; If target self is weak against elements: Poison
F1 47          ; Targeting: use normal targeting
F0 FE 0E 0E    ; Rand. spell: Nothing or <MB>Holy or <MB>Holy
FE             ; End If and reset targeting
FC 1A 36 80    ; If target self is weak against elements: Water
F1 47          ; Targeting: use normal targeting
F0 FE 15 15    ; Rand. spell: Nothing or <MB>Quake or <MB>Quake
FE             ; End If and reset targeting
FC 1A 36 40    ; If target self is weak against elements: Earth
F1 47          ; Targeting: use normal targeting
F0 FE 8D 8D    ; Rand. spell: Nothing or CleanSweep or CleanSweep
FE             ; End If and reset targeting
EE             ; Battle
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 99 FE FE    ; Rand. spell: Step Mine or Nothing or Nothing
FF             ; End

[script #313]  ; orig idx=313, "L.60 Magic", nb. bytes=19
F0 15 16 0E    ; Rand. spell: <MB>Quake or <MB>W Wind or <MB>Holy
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 29 28 34    ; Rand. spell: <MG>Osmose or <MG>Slowga or <MW>Regen
FF             ; End

[script #314]  ; orig idx=314, "Merchant", nb. bytes=29
EE             ; Battle
FF             ; End first wave of attack
FC 01 05 05    ; If monster has been attacked by cmd: Steal or Steal, will target attacker
F9 01 0D 04    ; VAR013 set bit: 4
F9 02 0D 05    ; VAR013 clear bit: 5
F5 00 03 01    ; Monsters #1 are hidden and their HP restored, suddently
F5 00 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, suddently
F7 0F          ; Trigger event: Locke gets merchants clothes
F5 00 01 01    ; Monsters #1 are killed, suddently
FF             ; End

[script #315]  ; orig idx=315, "B.Day Suit", nb. bytes=11
F3 08 00       ; Text: " Wh_whew!!<D>"
F1 36          ; Targeting: self
F0 C2 C2 C2    ; Rand. spell: Escape or Escape or Escape
FF             ; End first wave of attack
FF             ; End

[script #316]  ; orig idx=316, "Tentacle", nb. bytes=109
FC 14 24 07    ; If VAR036 has all the following bit set: 7
FC 0B 1E 00    ; If timer has reached/passed 30 (locks timer)
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 48 12    ; If target ally #1 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 49 12    ; If target ally #2 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4A 12    ; If target ally #3 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4B 12    ; If target ally #4 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FB 00 00       ; has battle timer set to 0
F0 EE 08 EF    ; Rand. spell: Battle or <MB>Bio or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EF B0 EF    ; Rand. spell: Special or Entwine or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EE 08 EF    ; Rand. spell: Battle or <MB>Bio or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 03 EF B0    ; Rand. spell: <MB>Poison or Special or Entwine
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FC 14 24 07    ; If VAR036 has all the following bit set: 7
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 05 00 00    ; If monster has been attacked
F0 EE FE FE    ; Rand. spell: Battle or Nothing or Nothing
FF             ; End

[script #317]  ; orig idx=317, "Tentacle", nb. bytes=109
FC 14 24 07    ; If VAR036 has all the following bit set: 7
FC 0B 1E 00    ; If timer has reached/passed 30 (locks timer)
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 48 12    ; If target ally #1 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 49 12    ; If target ally #2 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4A 12    ; If target ally #3 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4B 12    ; If target ally #4 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FB 00 00       ; has battle timer set to 0
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EE B0 EF    ; Rand. spell: Battle or Entwine or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EE 08 EF    ; Rand. spell: Battle or <MB>Bio or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 03 EF B0    ; Rand. spell: <MB>Poison or Special or Entwine
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FC 14 24 07    ; If VAR036 has all the following bit set: 7
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 05 00 00    ; If monster has been attacked
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End

[script #318]  ; orig idx=318, "Tentacle", nb. bytes=109
FC 14 24 07    ; If VAR036 has all the following bit set: 7
FC 0B 1E 00    ; If timer has reached/passed 30 (locks timer)
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 48 12    ; If target ally #1 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 49 12    ; If target ally #2 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4A 12    ; If target ally #3 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 08 4B 12    ; If target ally #4 is affected by status Slow
C8             ; Seize
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FB 00 00       ; has battle timer set to 0
F0 EE 08 EF    ; Rand. spell: Battle or <MB>Bio or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EE B0 EF    ; Rand. spell: Battle or Entwine or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
FB 00 00       ; has battle timer set to 0
F0 03 EF B0    ; Rand. spell: <MB>Poison or Special or Entwine
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FC 14 24 07    ; If VAR036 has all the following bit set: 7
DB             ; Discard
FE             ; End If and reset targeting
FC 15 24 07    ; If VAR036 has all the following bit cleared: 7
FC 05 00 00    ; If monster has been attacked
F0 EF FE FE    ; Rand. spell: Special or Nothing or Nothing
FF             ; End

[script #319]  ; orig idx=319, "RightBlade", nb. bytes=39
FC 12 08 00    ; If following monster is/are dead: #4
FC 0B 0F 00    ; If timer has reached/passed 15 (locks timer)
F5 08 00 08    ; Monsters #4 , if hidden/dead, brought in with their HP restored, from top
FE             ; End If and reset targeting
FC 11 08 00    ; If following monster is/are alive: #4
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 00 00 08    ; Monsters #4 , if hidden/dead, brought in with their HP restored, suddently
F5 09 03 08    ; Monsters #4 are hidden and their HP restored, from bottom
FB 00 00       ; has battle timer set to 0
FF             ; End

[script #320]  ; orig idx=320, "Left Blade", nb. bytes=44
FC 12 02 00    ; If following monster is/are dead: #2
FC 0B 1E 00    ; If timer has reached/passed 30 (locks timer)
F5 08 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, from top
FE             ; End If and reset targeting
FC 11 02 00    ; If following monster is/are alive: #2
F0 EE EE E7    ; Rand. spell: Battle or Battle or Shimsham
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 00 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, suddently
F5 09 03 02    ; Monsters #2 are hidden and their HP restored, from bottom
FB 00 00       ; has battle timer set to 0
FF             ; End

[script #321]  ; orig idx=321, "Rough", nb. bytes=39
FC 12 08 00    ; If following monster is/are dead: #4
FC 0B 14 00    ; If timer has reached/passed 20 (locks timer)
F5 08 00 08    ; Monsters #4 , if hidden/dead, brought in with their HP restored, from top
FE             ; End If and reset targeting
FC 11 08 00    ; If following monster is/are alive: #4
F0 EE EE EF    ; Rand. spell: Battle or Battle or Special
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 00 00 08    ; Monsters #4 , if hidden/dead, brought in with their HP restored, suddently
F5 09 03 08    ; Monsters #4 are hidden and their HP restored, from bottom
FB 00 00       ; has battle timer set to 0
FF             ; End

[script #322]  ; orig idx=322, "Striker", nb. bytes=39
FC 12 02 00    ; If following monster is/are dead: #2
FC 0B 28 00    ; If timer has reached/passed 40 (locks timer)
F5 08 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, from top
FE             ; End If and reset targeting
FC 11 02 00    ; If following monster is/are alive: #2
F0 EE EE D7    ; Rand. spell: Battle or Battle or Shrapnel
FE             ; End If and reset targeting
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 00 00 02    ; Monsters #2 , if hidden/dead, brought in with their HP restored, suddently
F5 09 03 02    ; Monsters #2 are hidden and their HP restored, from bottom
FB 00 00       ; has battle timer set to 0
FF             ; End

[script #323]  ; orig idx=323, "L.70 Magic", nb. bytes=19
F0 09 0A 0B    ; Rand. spell: <MB>Firaga or <MB>Blizga or <MB>Thunga
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FE             ; End If and reset targeting
FC 05 00 00    ; If monster has been attacked
F0 1D 1A 25    ; Rand. spell: <MG>Sleep or <MG>Rasp or <MG>Shell
FF             ; End

[script #324]  ; orig idx=324, "Tritoch", nb. bytes=66
F0 1A 1A 0A    ; Rand. spell: <MG>Rasp or <MG>Rasp or <MB>Blizga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 0A 0A 1A    ; Rand. spell: <MB>Blizga or <MB>Blizga or <MG>Rasp
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 1A CF 0A    ; Rand. spell: <MG>Rasp or Cold Dust or <MB>Blizga
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 0C 01 FF    ; Monsters #1, #2, #3, #4, #5, #6 are killed, dies like a boss
FE             ; End If and reset targeting
FC 04 01 00    ; If monster as been attacked by element: Fire
F0 FE FE 1A    ; Rand. spell: Nothing or Nothing or <MG>Rasp
FE             ; End If and reset targeting
FC 01 07 09    ; If monster has been attacked by cmd: SwdTech or Tools, will target attacker
F1 45          ; Targeting: last ally/monster who attacked (random ally if N/A)
F0 FE FE CF    ; Rand. spell: Nothing or Nothing or Cold Dust
FE             ; End If and reset targeting
FC 01 0A 0C    ; If monster has been attacked by cmd: Blitz or Lore, will target attacker
F1 45          ; Targeting: last ally/monster who attacked (random ally if N/A)
F0 FE FE CF    ; Rand. spell: Nothing or Nothing or Cold Dust
FE             ; End If and reset targeting
FC 01 0D 10    ; If monster has been attacked by cmd: Sketch or Rage, will target attacker
F1 45          ; Targeting: last ally/monster who attacked (random ally if N/A)
F0 FE FE CF    ; Rand. spell: Nothing or Nothing or Cold Dust
FF             ; End

[script #325]  ; orig idx=325, "Laser Gun", nb. bytes=40
FC 06 36 0C    ; If target self has less or equal than 1536 HP
F1 47          ; Targeting: use normal targeting
F0 B6 B6 B5    ; Rand. spell: Diffuser or Diffuser or Tek Laser
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 B6 B6 B5    ; Rand. spell: Diffuser or Diffuser or Tek Laser
FE             ; End If and reset targeting
F0 B4 B5 B5    ; Rand. spell: Atomic Ray or Tek Laser or Tek Laser
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
FC 13 01 02    ; If 2 monster(s) or less remain
F9 01 00 00    ; VAR000 set bit: 0
F5 01 01 04    ; Monsters #3 are killed, in smoke
FF             ; End

[script #326]  ; orig idx=326, "Speck", nb. bytes=2
FF             ; End first wave of attack
FF             ; End

[script #327]  ; orig idx=327, "MissileBay", nb. bytes=30
FC 06 36 0C    ; If target self has less or equal than 1536 HP
F1 47          ; Targeting: use normal targeting
DD             ; Missile
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 CD DD DD    ; Rand. spell: Launcher or Missile or Missile
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
CD             ; Launcher
FE             ; End If and reset targeting
DD             ; Missile
FF             ; End first wave of attack
FC 12 00 00    ; If following monster is/are dead: 
F5 01 01 10    ; Monsters #5 are killed, in smoke
FF             ; End

[script #328]  ; orig idx=328, "Chadarnook", nb. bytes=114
FC 0B 28 00    ; If timer has reached/passed 40 (locks timer)
FB 00 00       ; has battle timer set to 0
F8 03 01       ; Set VAR003 to 1
F5 0E 02 01    ; Monsters #1 , if hidden, brought in without affecting their HP, in light & flashes
F5 0E 01 02    ; Monsters #2 are killed, in light & flashes
FE             ; End If and reset targeting
FC 06 36 78    ; If target self has less or equal than 15360 HP
F1 47          ; Targeting: use normal targeting
F0 EE BE 0B    ; Rand. spell: Battle or Flash Rain or <MB>Thunga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 BE 0B BE    ; Rand. spell: Flash Rain or <MB>Thunga or Flash Rain
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 BE EE 0B    ; Rand. spell: Flash Rain or Battle or <MB>Thunga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F1 47          ; Targeting: use normal targeting
F0 BE 0B EE    ; Rand. spell: Flash Rain or <MB>Thunga or Battle
FE             ; End If and reset targeting
F0 EE EE 0B    ; Rand. spell: Battle or Battle or <MB>Thunga
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
F0 EE 07 FE    ; Rand. spell: Battle or <MB>Thunra or Nothing
FD             ; Wait until the attack sequence is called upon again, then continue (reset targeting)
